,model1,model2
Intercept,-3.712153281943604,-3.75191758306367
C(year)[T.2001],-0.16840839015174422,-0.16367006134749895
C(year)[T.2002],-0.39782874544765556,-0.38446138751115694
C(year)[T.2003],-0.4642462963628754,-0.4588046741387697
C(year)[T.2004],-1.0592721050544458,-1.047541440379875
C(year)[T.2005],-1.3170976897091704,-1.3156197639256033
C(year)[T.2006],-1.2891680086517043,-1.297103732652414
C(year)[T.2007],-1.6066421744471153,-1.6024758995412753
C(year)[T.2008],-1.7381222526745053,-1.7345562273436073
C(year)[T.2009],-1.5559231639863844,-1.5524704548447086
C(year)[T.2010],-1.1605937956731958,-1.152054012118081
C(year)[T.2011],-0.8434082143226148,-0.8402795529022502
C(year)[T.2012],-1.2338402823916736,-1.2389857403582725
C(year)[T.2013],-1.346224263425981,-1.356197798325348
C(year)[T.2014],-1.1912080483184428,-1.2167376711873894
C(year)[T.2015],-1.4492087045597428,-1.4709183368196985
C(year)[T.2016],-1.8156512185806974,-1.8439733114400967
C(year)[T.2017],-1.4743574339349395,-1.4830685418249379
C(year)[T.2018],-0.811348052583947,-0.8189727104710209
C(year)[T.2019],-0.2390786795174388,-0.23594881357433947
C(year)[T.2020],-1.819144609092312,-1.8146133288397364
C(year)[T.2021],-2.75751184090177,-2.7578395846609625
C(year)[T.2022],-2.028574951564379,-2.0459686034020055
C(year)[T.2023],-1.033794465725688,-1.0370216883764016
C(year)[T.2024],-0.6747538465987342,-0.7012690232129627
conflict_any_event,0.5932249593098664,
coverage,-5.202178427758439,-4.929285112530003
log_pop_total,0.8017459808589179,0.7885387125982345
log_fatalities_plus1,,0.139890041851518
