iso3,year,event_month,conflict_events_total,conflict_fatalities_best,conflict_fatalities_high,conflict_fatalities_low,conflict_state_based_events,conflict_non_state_events,conflict_one_sided_events,conflict_any_event,period
AFG,1989,1,13,714,1124,705,13,0,0,1,1989-01
AFG,1989,2,16,160,160,41,16,0,0,1,1989-02
AFG,1989,3,20,1744,9005,516,20,0,0,1,1989-03
AFG,1989,4,26,494,1359,63,26,0,0,1,1989-04
AFG,1989,5,18,454,1723,17,17,1,0,1,1989-05
AFG,1989,6,16,495,1137,82,16,0,0,1,1989-06
AFG,1989,7,12,620,829,46,9,3,0,1,1989-07
AFG,1989,8,6,410,1505,410,3,3,0,1,1989-08
AFG,1989,9,8,71,71,39,8,0,0,1,1989-09
AFG,1989,10,6,239,719,216,6,0,0,1,1989-10
AFG,1989,12,4,10,10,6,3,1,0,1,1989-12
AFG,1990,1,1,25,25,25,1,0,0,1,1990-01
AFG,1990,2,3,54,96,23,3,0,0,1,1990-02
AFG,1990,3,4,149,254,149,4,0,0,1,1990-03
AFG,1990,4,8,489,1139,486,8,0,0,1,1990-04
AFG,1990,5,1,8,8,8,1,0,0,1,1990-05
AFG,1990,7,8,95,95,0,8,0,0,1,1990-07
AFG,1990,9,1,16,16,16,0,1,0,1,1990-09
AFG,1990,10,12,651,651,643,7,5,0,1,1990-10
AFG,1990,11,7,27,27,9,7,0,0,1,1990-11
AFG,1991,1,2,25,25,22,2,0,0,1,1991-01
AFG,1991,2,1,5,5,5,1,0,0,1,1991-02
AFG,1991,3,8,1765,1765,1765,8,0,0,1,1991-03
AFG,1991,4,3,310,810,310,3,0,0,1,1991-04
AFG,1991,5,4,234,234,234,4,0,0,1,1991-05
AFG,1991,7,6,282,282,235,5,1,0,1,1991-07
AFG,1991,8,11,360,360,360,9,2,0,1,1991-08
AFG,1991,9,5,51,51,45,5,0,0,1,1991-09
AFG,1991,10,15,208,208,122,15,0,0,1,1991-10
AFG,1991,11,5,290,290,290,4,1,0,1,1991-11
AFG,1991,12,4,23,23,19,4,0,0,1,1991-12
AFG,1992,1,1,2,2,2,0,0,1,1,1992-01
AFG,1992,2,2,35,35,35,2,0,0,1,1992-02
AFG,1992,3,3,5,5,5,3,0,0,1,1992-03
AFG,1992,4,10,799,1443,799,10,0,0,1,1992-04
AFG,1992,5,9,99,398,82,7,0,2,1,1992-05
AFG,1992,6,10,182,209,182,10,0,0,1,1992-06
AFG,1992,7,4,161,161,161,4,0,0,1,1992-07
AFG,1992,8,21,2694,2804,2694,21,0,0,1,1992-08
AFG,1992,9,9,68,468,68,8,0,1,1,1992-09
AFG,1992,10,1,150,150,150,1,0,0,1,1992-10
AFG,1992,12,6,190,190,190,3,3,0,1,1992-12
AFG,1993,1,20,1180,4904,1180,20,0,0,1,1993-01
AFG,1993,2,22,557,567,557,15,0,7,1,1993-02
AFG,1993,3,4,30,30,30,4,0,0,1,1993-03
AFG,1993,4,3,37,37,37,3,0,0,1,1993-04
AFG,1993,5,16,1034,1534,1034,15,0,1,1,1993-05
AFG,1993,6,9,51,51,43,9,0,0,1,1993-06
AFG,1993,7,9,372,416,372,8,0,1,1,1993-07
AFG,1993,8,7,272,272,272,7,0,0,1,1993-08
AFG,1993,9,5,75,75,75,5,0,0,1,1993-09
AFG,1993,10,6,168,168,168,6,0,0,1,1993-10
AFG,1993,11,8,306,356,306,8,0,0,1,1993-11
AFG,1993,12,6,23,23,23,5,1,0,1,1993-12
AFG,1994,1,35,6266,6373,6266,35,0,0,1,1994-01
AFG,1994,2,18,260,638,260,18,0,0,1,1994-02
AFG,1994,3,18,226,626,226,17,1,0,1,1994-03
AFG,1994,4,24,481,559,481,21,3,0,1,1994-04
AFG,1994,5,18,148,178,148,17,1,0,1,1994-05
AFG,1994,6,28,393,613,393,28,0,0,1,1994-06
AFG,1994,7,20,187,887,187,19,1,0,1,1994-07
AFG,1994,8,25,276,276,276,25,0,0,1,1994-08
AFG,1994,9,32,483,1388,483,32,0,0,1,1994-09
AFG,1994,10,15,215,415,215,12,3,0,1,1994-10
AFG,1994,11,9,105,105,55,8,1,0,1,1994-11
AFG,1994,12,2,16,16,16,2,0,0,1,1994-12
AFG,1995,1,14,294,294,294,14,0,0,1,1995-01
AFG,1995,2,23,329,489,329,16,6,1,1,1995-02
AFG,1995,3,21,756,942,756,21,0,0,1,1995-03
AFG,1995,4,9,1027,1352,1027,9,0,0,1,1995-04
AFG,1995,5,16,1044,1127,1044,16,0,0,1,1995-05
AFG,1995,6,33,321,425,321,33,0,0,1,1995-06
AFG,1995,7,13,239,239,239,13,0,0,1,1995-07
AFG,1995,8,21,280,286,280,21,0,0,1,1995-08
AFG,1995,9,10,129,329,129,9,1,0,1,1995-09
AFG,1995,10,18,645,733,645,17,1,0,1,1995-10
AFG,1995,11,22,406,503,406,22,0,0,1,1995-11
AFG,1995,12,19,148,158,148,17,2,0,1,1995-12
AFG,1996,1,20,109,137,109,18,1,1,1,1996-01
