iso3,year,conflict_events_total,conflict_fatalities_best,conflict_fatalities_high,conflict_fatalities_low,conflict_state_based_events,conflict_non_state_events,conflict_one_sided_events,conflict_any_event,conflict_any_fatality
AFG,1989,145,5411,17642,2141,137,8,0,1,1
AFG,1990,45,1514,2311,1359,39,6,0,1,1
AFG,1991,64,3553,4053,3407,60,4,0,1,1
AFG,1992,76,4385,5865,4368,69,3,4,1,1
AFG,1993,115,4105,8433,4097,105,1,9,1,1
AFG,1994,244,9056,12074,9006,234,10,0,1,1
AFG,1995,219,5618,6877,5618,208,10,1,1,1
AFG,1996,234,3595,4056,3369,221,7,6,1,1
AFG,1997,199,6721,8606,4569,195,1,3,1,1
AFG,1998,217,12174,15196,10016,194,3,20,1,1
AFG,1999,189,5065,5857,5030,184,0,5,1,1
AFG,2000,207,5394,5670,4212,194,1,12,1,1
AFG,2001,263,5553,13588,5388,230,0,33,1,1
AFG,2002,94,1157,1646,1123,60,31,3,1,1
AFG,2003,186,944,1322,861,137,36,13,1,1
AFG,2004,241,817,1439,773,210,7,24,1,1
AFG,2005,430,1711,2109,1528,373,0,57,1,1
AFG,2006,848,4982,5853,4911,779,2,67,1,1
AFG,2007,1044,7037,8601,6480,977,1,66,1,1
AFG,2008,1115,5661,7194,5185,1080,0,35,1,1
AFG,2009,1514,6499,8180,5765,1450,0,64,1,1
AFG,2010,1806,7151,8605,6995,1719,8,79,1,1
AFG,2011,2197,7563,8512,7419,2145,4,48,1,1
AFG,2012,2301,7783,8618,7610,2256,3,42,1,1
AFG,2013,1926,8131,10272,7690,1875,3,48,1,1
AFG,2014,2119,12549,15983,11753,2028,3,88,1,1
AFG,2015,2266,18018,21759,16922,2117,45,104,1,1
AFG,2016,2428,19025,26239,17593,2283,38,107,1,1
AFG,2017,2482,19784,21785,18902,2328,58,96,1,1
AFG,2018,3724,26895,31458,25152,3568,51,105,1,1
AFG,2019,4682,30435,35335,28505,4536,16,130,1,1
AFG,2020,3317,20834,22197,19287,3145,1,171,1,1
AFG,2021,4512,36386,41097,34262,4291,2,219,1,1
AFG,2022,416,1574,2853,977,272,0,144,1,1
AFG,2023,176,360,601,218,100,0,76,1,1
AFG,2024,179,353,608,258,111,0,68,1,1
AGO,1989,260,2873,6831,2873,242,0,18,1,1
AGO,1990,181,2609,4609,2608,165,0,16,1,1
AGO,1991,19,516,688,497,19,0,0,1,1
AGO,1992,38,2352,3714,2329,36,0,2,1,1
AGO,1993,220,12398,25504,12398,200,0,20,1,1
AGO,1994,320,4009,12507,3959,290,0,30,1,1
AGO,1995,76,238,1101,216,65,0,11,1,1
AGO,1996,28,32,341,9,26,0,2,1,1
AGO,1997,35,105,362,60,18,0,17,1,1
AGO,1998,110,1191,2487,1158,72,0,38,1,1
AGO,1999,245,2666,6943,2666,201,0,44,1,1
AGO,2000,130,1209,4361,613,78,0,52,1,1
AGO,2001,124,2158,3717,2158,67,0,57,1,1
AGO,2002,69,579,1073,550,47,0,22,1,1
AGO,2003,37,84,221,81,17,0,20,1,1
AGO,2004,19,38,113,21,14,0,5,1,1
AGO,2005,13,15,43,15,6,0,7,1,1
AGO,2006,12,3,71,3,10,0,2,1,1
AGO,2007,22,26,111,1,21,0,1,1,1
AGO,2008,9,4,29,4,9,0,0,1,1
AGO,2009,9,25,66,1,9,0,0,1,1
AGO,2010,4,10,30,10,3,0,1,1,1
AGO,2011,2,1,3,1,2,0,0,1,1
AGO,2013,1,2,2,2,1,0,0,1,1
AGO,2014,6,0,15,0,6,0,0,1,0
AGO,2015,2,1,9,1,2,0,0,1,1
AGO,2016,18,26,186,10,17,0,1,1,1
